# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B082    2012.239_5.5 5.5 120.99 -6.410717
 B917    2008.211_5.5 5.5 171.47 -6.415060
 B089    2012.239_5.4 5.4 120.95 -6.430523
 B040    2008.121_5.4 5.4 152.22 -6.430878
 B093    2012.239_5.5 5.5 133.49 -6.438851
 B039    2008.121_5.4 5.4 121.90 -6.439004
 B027    2010.010_6.5 6.5 465.70 -6.455159
 B917    2010.188_5.5 5.5 231.04 -6.455161
 B943    2011.252_6.5 6.5 353.83 -6.457356
 B067    2012.295_5.4 5.4  82.54 -6.461105
 B020    2011.252_6.5 6.5 406.10 -6.463592
 B039    2013.144_5.7 5.7 183.93 -6.470730
 B901    2007.304_5.6 5.6 237.39 -6.474223
 B081    2009.364_5.9 5.9 200.53 -6.475825
 B082    2012.239_5.4 5.4 120.82 -6.476315
 B933    2013.284_5.2 5.2 118.83 -6.491556
 B093    2009.364_5.9 5.9 195.32 -6.495743
 B935    2013.144_5.7 5.7 216.76 -6.503112
 B018    2011.252_6.5 6.5 400.21 -6.517250
 B081    2012.239_5.5 5.5 137.20 -6.520312
 B054    2014.069_6.9 6.9 418.83 -6.525766
 B084    2008.211_5.5 5.5 134.44 -6.532889
 B900    2007.304_5.6 5.6 245.57 -6.536726
 B066    2012.295_5.4 5.4  91.28 -6.539130
 B089    2010.095_5.1 5.1 121.57 -6.539224
 B040    2012.044_5.6 5.6 139.46 -6.540069
 B935    2010.035_5.9 5.9 129.69 -6.545838
 B065    2012.295_5.4 5.4  75.18 -6.548258
 B088    2012.239_5.4 5.4 109.31 -6.551118
 B918    2009.276_5.2 5.2  56.12 -6.553994
 B918    2009.274_5.1 5.1  54.68 -6.554508
 B040    2013.144_5.7 5.7 212.55 -6.556058
 B086    2012.239_5.4 5.4 113.35 -6.560784
 B087    2010.095_5.1 5.1 113.37 -6.564202
 B933    2013.144_5.7 5.7 249.86 -6.570390
 B087    2008.341_5.1 5.1 149.77 -6.571257
 B087    2012.239_5.4 5.4 114.62 -6.576180
 B013    2011.252_6.5 6.5 353.87 -6.586202
 B089    2008.341_5.1 5.1 138.30 -6.595724
 B084    2012.239_5.4 5.4 112.04 -6.598402
 B057    2010.010_6.5 6.5 338.65 -6.598614
 B933    2008.333_5.9 5.9 263.95 -6.599261
 B086    2008.341_5.1 5.1 142.27 -6.600695
 B058    2012.295_5.4 5.4  86.10 -6.620012
 B093    2012.239_5.4 5.4 133.01 -6.625239
 B086    2010.095_5.1 5.1 114.27 -6.637678
 B084    2008.341_5.1 5.1 135.83 -6.638228
 B045    2012.203_5.4 5.4 118.80 -6.644024
 B917    2008.341_5.1 5.1 101.37 -6.645489
 B072    2008.211_5.5 5.5 311.46 -6.645861
 B079    2007.304_5.6 5.6 231.63 -6.653337
 B081    2008.341_5.1 5.1 128.25 -6.654198
 B088    2008.042_5.1 5.1 161.72 -6.654248
 B900    2008.211_5.5 5.5 277.97 -6.657532
 B088    2010.098_5.4 5.4 178.67 -6.661933
 B082    2010.095_5.1 5.1 121.42 -6.673622
 B918    2010.188_5.5 5.5 298.01 -6.675813
 B082    2008.341_5.1 5.1 138.48 -6.677442
 B045    2012.203_5.2 5.2 124.44 -6.684182
 B035    2012.044_5.6 5.6 155.50 -6.693941
 B934    2013.144_5.7 5.7 229.99 -6.699458
 B067    2011.239_4.8 4.8  46.60 -6.714791
 B203    2011.252_6.5 6.5 499.94 -6.726712
 B093    2010.095_5.1 5.1 131.29 -6.729537
 B917    2009.364_5.9 5.9 377.82 -6.732564
 B066    2010.010_6.5 6.5 493.96 -6.733461
 B901    2008.211_5.5 5.5 287.41 -6.742827
 B036    2012.044_5.6 5.6 155.77 -6.745246
 B934    2013.284_5.2 5.2 152.00 -6.759580
 B086    2010.142_5.1 5.1 128.09 -6.760215
 B066    2011.239_4.8 4.8  54.86 -6.769147
 B004    2012.313_6.2 6.2 335.45 -6.771549
 B040    2010.035_5.9 5.9 276.35 -6.776630
 B067    2013.144_5.7 5.7 387.11 -6.777327
 B024    2011.252_6.5 6.5 474.42 -6.783996
 B022    2011.252_6.5 6.5 441.45 -6.790746
 B081    2012.239_5.4 5.4 137.14 -6.796017
 B065    2011.239_4.8 4.8  40.16 -6.808009
 B917    2009.276_5.2 5.2 121.94 -6.810811
 B933    2012.044_5.6 5.6 126.31 -6.815530
 B086    2010.098_5.4 5.4 187.83 -6.820125
 B087    2010.098_5.4 5.4 187.02 -6.828461
 B087    2010.095_5.0 5.0 116.66 -6.828653
 B073    2008.211_5.5 5.5 328.50 -6.831081
 B941    2011.252_6.5 6.5 447.13 -6.837619
 B081    2010.095_5.1 5.1 137.81 -6.852740
 B089    2010.142_5.1 5.1 135.18 -6.853819
 B916    2009.364_5.9 5.9 473.26 -6.856503
 B082    2010.142_5.1 5.1 135.02 -6.857312
 B087    2010.128_5.0 5.0 128.13 -6.858538
 B087    2010.142_5.1 5.1 126.02 -6.859916
 B933    2012.203_5.2 5.2 132.19 -6.863541
 B088    2010.095_5.1 5.1 105.50 -6.864701
 B084    2010.095_5.1 5.1 115.04 -6.864741
 B012    2012.313_6.2 6.2 242.53 -6.869570
 B058    2010.010_6.5 6.5 499.89 -6.876935
 B088    2008.341_5.1 5.1 163.21 -6.881509
 B093    2010.098_5.4 5.4 205.16 -6.886272
 B934    2012.044_5.6 5.6 148.96 -6.895571
 B918    2009.364_5.9 5.9 445.62 -6.896005
 B093    2010.142_5.1 5.1 143.50 -6.902322
 B901    2013.149_4.9 4.9 138.63 -6.906388
 B933    2012.203_5.4 5.4 127.48 -6.907508
 B014    2012.313_6.2 6.2 404.56 -6.913433
 B201    2011.252_6.5 6.5 493.31 -6.913833
 B900    2013.149_4.9 4.9 138.12 -6.915237
 B917    2010.166_5.8 5.8 324.92 -6.916123
 B086    2010.095_5.0 5.0 116.63 -6.917896
 B086    2008.040_5.1 5.1 155.34 -6.919694
 B082    2010.098_5.4 5.4 195.14 -6.919800
