# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B026    2012.102_6.0 6.0 389.27 -7.485999
 B030    2012.102_6.0 6.0 419.61 -7.488214
 B089    2009.274_5.1 5.1 327.32 -7.489007
 B028    2008.121_5.4 5.4 410.51 -7.489404
 B918    2012.295_5.4 5.4 298.40 -7.491056
 B026    2012.044_5.6 5.6 460.78 -7.491826
 B073    2008.341_5.1 5.1 390.74 -7.493469
 B003    2012.035_5.6 5.6 305.78 -7.494880
 B066    2010.035_5.9 5.9 493.69 -7.495983
 B072    2008.341_5.1 5.1 376.12 -7.497477
 B019    2012.232_5.6 5.6 420.90 -7.498290
 B918    2012.239_5.4 5.4 382.05 -7.500783
 B084    2009.274_5.1 5.1 330.71 -7.501315
 B082    2009.274_5.1 5.1 327.51 -7.501763
 B084    2008.043_5.0 5.0 163.59 -7.502982
 B943    2008.360_5.8 5.8 468.18 -7.503270
 B017    2008.360_5.8 5.8 456.31 -7.504227
 B917    2012.295_5.4 5.4 342.25 -7.510457
 B027    2011.286_5.6 5.6 383.71 -7.512504
 B928    2008.255_5.2 5.2 328.14 -7.512925
 B065    2008.211_5.5 5.5 454.15 -7.512982
 B901    2011.239_4.8 4.8 133.62 -7.513314
 B076    2013.044_5.3 5.3 316.89 -7.514381
 B010    2008.360_5.8 5.8 412.61 -7.520321
 B027    2008.010_6.3 6.3 439.18 -7.521065
 B901    2008.341_5.1 5.1 354.31 -7.521462
 B927    2008.360_5.8 5.8 314.34 -7.526186
 B039    2013.284_5.2 5.2 216.34 -7.526201
 B032    2008.333_5.9 5.9 476.06 -7.529170
 B024    2012.046_5.9 5.9 392.50 -7.529230
 B081    2010.128_4.9 4.9 150.99 -7.529872
 B027    2008.121_5.4 5.4 410.94 -7.531429
 B067    2008.211_5.5 5.5 461.72 -7.532158
 B926    2013.216_5.5 5.5 259.86 -7.532381
 B019    2011.286_5.6 5.6 477.94 -7.533395
 B084    2010.128_4.9 4.9 129.25 -7.534623
 B036    2008.333_5.9 5.9 388.26 -7.540325
 B026    2012.046_5.9 5.9 373.39 -7.543499
 B081    2009.262_5.2 5.2 198.59 -7.545908
 B088    2009.274_5.1 5.1 350.14 -7.546600
 B027    2012.102_6.0 6.0 415.94 -7.548325
 B076    2009.276_5.2 5.2 243.49 -7.549275
 B075    2009.274_5.1 5.1 246.74 -7.551331
 B926    2012.035_5.6 5.6 297.51 -7.551592
 B028    2012.102_6.0 6.0 415.70 -7.553565
 B078    2009.276_5.2 5.2 239.30 -7.553938
 B084    2010.257_5.0 5.0 201.55 -7.556184
 B943    2012.035_5.6 5.6 401.47 -7.556221
 B028    2012.046_5.9 5.9 397.35 -7.557393
 B093    2009.262_5.2 5.2 192.33 -7.558645
 B086    2008.053_4.9 4.9 172.54 -7.559626
 B087    2008.051_4.8 4.8 166.86 -7.561284
 B011    2008.360_5.8 5.8 412.84 -7.562787
 B031    2008.333_5.9 5.9 475.66 -7.563104
 B022    2008.360_5.8 5.8 498.11 -7.567216
 B082    2011.049_5.2 5.2 221.62 -7.569830
 B086    2008.051_4.8 4.8 167.14 -7.571422
 B009    2012.035_5.6 5.6 347.45 -7.571484
 B076    2008.341_5.1 5.1 386.48 -7.574515
 B089    2011.049_5.2 5.2 221.77 -7.575155
 B032    2012.102_6.0 6.0 367.06 -7.575468
 B088    2010.345_4.8 4.8 177.05 -7.581593
 B026    2008.010_6.3 6.3 406.42 -7.582415
 B082    2008.053_4.9 4.9 179.97 -7.582955
 B024    2012.044_5.6 5.6 497.11 -7.588379
 B024    2012.232_5.6 5.6 446.61 -7.588450
 B916    2010.098_5.4 5.4 490.05 -7.589820
 B081    2011.049_5.2 5.2 238.23 -7.593457
 B081    2008.050_5.1 5.1 191.57 -7.597465
 B917    2013.044_5.3 5.3 304.59 -7.597735
 B017    2012.232_5.6 5.6 420.64 -7.598523
 B917    2010.098_5.4 5.4 394.10 -7.598702
 B020    2008.360_5.8 5.8 473.75 -7.598988
 B045    2012.102_6.0 6.0 462.45 -7.600571
 B031    2012.102_6.0 6.0 366.77 -7.600840
 B093    2009.276_5.2 5.2 323.90 -7.603366
 B012    2012.232_5.6 5.6 311.74 -7.604123
 B084    2009.262_5.2 5.2 174.82 -7.604386
 B019    2013.216_5.5 5.5 429.48 -7.605995
 B036    2012.046_5.9 5.9 364.41 -7.607858
 B040    2012.046_5.9 5.9 464.95 -7.610749
 B081    2008.043_5.0 5.0 187.69 -7.612356
 B027    2012.046_5.9 5.9 397.60 -7.613635
 B088    2008.051_4.8 4.8 159.24 -7.613765
 B901    2013.044_5.3 5.3 322.94 -7.615016
 B086    2012.295_5.4 5.4 498.77 -7.616231
 B054    2011.300_4.9 4.9 258.67 -7.617675
 B093    2009.274_5.1 5.1 323.04 -7.618105
 B203    2010.209_5.2 5.2 398.67 -7.619971
 B030    2007.323_5.8 5.8 406.38 -7.620748
 B035    2013.284_5.2 5.2 225.87 -7.620909
 B022    2011.217_4.8 4.8 466.94 -7.622429
 B045    2011.300_4.9 4.9 326.41 -7.624036
 B073    2009.276_4.9 4.9 244.54 -7.626906
 B075    2009.276_5.2 5.2 251.69 -7.630534
 B084    2008.053_4.9 4.9 172.15 -7.631809
 B009    2013.216_5.5 5.5 313.00 -7.634702
 B004    2013.216_5.5 5.5 270.83 -7.635168
 B035    2012.046_5.9 5.9 364.35 -7.637656
 B082    2012.295_5.4 5.4 491.25 -7.640890
 B089    2008.053_4.9 4.9 180.11 -7.644278
 B006    2008.360_5.8 5.8 418.85 -7.647989
 B036    2013.284_5.2 5.2 226.16 -7.648543
 B935    2012.102_6.0 6.0 484.46 -7.649152
 B020    2012.035_5.6 5.6 412.20 -7.650734
 B001    2013.216_5.5 5.5 362.04 -7.652002
 B935    2012.203_5.2 5.2 160.29 -7.653195
 B039    2008.117_5.0 5.0 304.07 -7.655163
 B035    2008.333_5.9 5.9 387.99 -7.661617
 B093    2008.053_4.9 4.9 190.97 -7.664374
 B089    2012.295_5.4 5.4 491.12 -7.666441
 B039    2012.046_5.9 5.9 477.91 -7.667525
 B022    2012.046_5.9 5.9 410.68 -7.672084
 B035    2008.010_6.3 6.3 413.49 -7.673439
 B087    2012.295_5.4 5.4 497.88 -7.673566
 B079    2009.276_4.9 4.9 228.92 -7.674840
 B093    2008.051_4.8 4.8 185.11 -7.675443
 B033    2010.209_5.2 5.2 239.80 -7.678530
 B030    2008.075_5.7 5.7 392.95 -7.679218
 B026    2008.121_5.4 5.4 497.49 -7.680703
 B026    2007.323_5.8 5.8 380.60 -7.681855
 B054    2011.239_4.8 4.8 174.53 -7.686180
 B040    2008.117_5.0 5.0 329.51 -7.687658
 B040    2012.102_6.0 6.0 483.21 -7.689382
 B020    2011.286_5.6 5.6 445.58 -7.689628
 B013    2008.360_5.8 5.8 468.22 -7.689717
 B089    2008.051_4.8 4.8 174.65 -7.689867
 B057    2011.300_4.9 4.9 266.74 -7.690105
 B006    2012.035_5.6 5.6 352.20 -7.694297
 B087    2010.345_4.8 4.8 184.96 -7.695871
 B045    2013.335_5.5 5.5 303.38 -7.696483
 B084    2011.049_5.2 5.2 214.55 -7.697575
 B057    2013.044_5.3 5.3 396.99 -7.699284
 B066    2009.274_5.1 5.1 340.75 -7.701475
 B058    2008.211_5.5 5.5 465.29 -7.701517
 B019    2013.030_5.4 5.4 482.56 -7.702999
 B036    2012.102_6.0 6.0 383.26 -7.704040
 B935    2012.203_5.4 5.4 154.51 -7.704058
 B031    2008.019_4.9 4.9 384.83 -7.707498
 B066    2013.044_5.3 5.3 341.32 -7.708626
 B078    2013.044_5.3 5.3 320.88 -7.708978
 B934    2012.295_5.4 5.4 466.33 -7.709678
 B035    2012.102_6.0 6.0 383.20 -7.710080
 B036    2007.176_5.0 5.0 201.88 -7.711035
 B073    2008.117_5.0 5.0 403.86 -7.711099
 B058    2010.035_5.9 5.9 499.45 -7.712079
 B009    2008.360_5.8 5.8 412.63 -7.715827
 B031    2008.075_5.7 5.7 333.12 -7.717460
 B917    2010.095_5.1 5.1 321.82 -7.718766
 B072    2009.274_5.1 5.1 234.45 -7.719089
 B079    2011.239_4.8 4.8 127.57 -7.719098
 B018    2012.035_5.6 5.6 428.08 -7.719262
 B026    2008.199_5.7 5.7 473.93 -7.719978
 B067    2009.274_5.1 5.1 337.12 -7.720075
 B018    2008.360_5.8 5.8 493.51 -7.722451
 B078    2008.341_5.1 5.1 376.34 -7.723011
 B027    2008.075_5.7 5.7 409.00 -7.724634
 B900    2008.117_5.0 5.0 429.74 -7.724699
 B022    2012.258_4.9 4.9 481.96 -7.724932
 B039    2011.300_4.9 4.9 273.95 -7.725392
 B039    2012.102_6.0 6.0 495.58 -7.725410
 B020    2012.232_5.6 5.6 414.87 -7.727464
 B057    2012.044_5.6 5.6 363.66 -7.727708
 B072    2013.044_5.3 5.3 321.44 -7.728099
 B007    2013.216_5.5 5.5 337.19 -7.729467
 B066    2013.149_4.9 4.9 301.05 -7.733192
 B918    2010.098_5.4 5.4 462.07 -7.734099
 B022    2008.199_5.7 5.7 489.05 -7.734230
 B067    2013.149_4.9 4.9 290.91 -7.737097
 B005    2013.216_5.5 5.5 337.14 -7.737211
 B035    2008.019_4.9 4.9 258.41 -7.739579
 B039    2008.300_5.0 5.0 223.92 -7.740202
 B076    2009.276_4.9 4.9 240.60 -7.740535
 B020    2008.103_5.5 5.5 459.95 -7.741297
 B065    2013.044_5.3 5.3 337.28 -7.741445
 B028    2007.323_5.8 5.8 403.80 -7.741784
 B943    2013.216_5.5 5.5 388.86 -7.742195
 B007    2012.232_5.6 5.6 423.78 -7.742275
 B035    2007.176_5.0 5.0 201.60 -7.742612
 B933    2012.046_5.9 5.9 482.09 -7.743000
 B028    2008.075_5.7 5.7 408.66 -7.743573
 B032    2011.286_5.6 5.6 330.02 -7.745459
 B028    2011.286_5.6 5.6 383.45 -7.745898
 B045    2014.072_5.5 5.5 316.96 -7.746124
 B072    2009.276_4.9 4.9 236.76 -7.746361
 B022    2008.103_5.5 5.5 423.07 -7.751601
 B928    2012.035_5.6 5.6 224.16 -7.752296
 B004    2012.232_5.6 5.6 358.96 -7.752795
 B017    2013.216_5.5 5.5 406.46 -7.755101
 B088    2010.105_4.9 4.9 207.08 -7.756744
 B022    2012.232_5.0 5.0 429.18 -7.758543
 B019    2011.039_5.4 5.4 478.14 -7.759084
 B078    2009.276_4.9 4.9 236.57 -7.760097
 B075    2008.341_5.1 5.1 393.93 -7.761099
 B023    2010.209_5.2 5.2 353.23 -7.762062
 B075    2013.044_5.3 5.3 323.20 -7.764152
 B081    2008.053_4.9 4.9 196.53 -7.765425
 B027    2010.209_5.2 5.2 260.36 -7.766506
 B001    2012.232_5.6 5.6 451.08 -7.769179
 B013    2012.035_5.6 5.6 401.51 -7.770063
 B036    2008.075_5.7 5.7 303.95 -7.771724
 B078    2008.117_5.0 5.0 414.65 -7.771942
 B022    2007.323_5.8 5.8 418.04 -7.772151
 B033    2008.019_4.9 4.9 340.92 -7.776301
 B033    2008.103_5.5 5.5 388.75 -7.781613
 B019    2008.319_5.3 5.3 480.53 -7.781794
 B081    2012.295_5.4 5.4 474.93 -7.782287
 B084    2008.051_4.8 4.8 167.09 -7.782708
 B088    2010.263_4.9 4.9 199.74 -7.787194
 B031    2008.199_5.7 5.7 497.08 -7.787386
 B900    2013.044_5.3 5.3 316.27 -7.788751
 B027    2007.323_5.8 5.8 404.05 -7.789248
 B058    2013.044_5.3 5.3 343.08 -7.790185
 B035    2007.129_5.4 5.4 276.35 -7.792178
 B918    2009.262_5.2 5.2 448.12 -7.793282
 B067    2013.044_5.3 5.3 343.49 -7.799232
 B026    2010.209_5.2 5.2 249.00 -7.799690
 B040    2007.323_5.8 5.8 467.65 -7.800018
 B917    2013.149_4.9 4.9 276.58 -7.800020
 B928    2012.232_5.6 5.6 332.98 -7.800571
 B057    2008.333_5.9 5.9 464.22 -7.803229
 B014    2012.232_5.6 5.6 396.94 -7.803807
 B018    2012.232_5.6 5.6 461.24 -7.805994
 B065    2009.274_5.1 5.1 328.81 -7.806802
 B076    2008.117_5.0 5.0 404.13 -7.809749
 B033    2008.075_5.7 5.7 339.03 -7.810107
 B003    2013.216_5.5 5.5 297.03 -7.811848
 B036    2007.323_5.8 5.8 367.82 -7.811899
 B030    2010.209_5.2 5.2 263.50 -7.812028
 B005    2012.232_5.6 5.6 423.87 -7.814214
 B081    2013.044_5.3 5.3 496.76 -7.815302
 B087    2010.105_4.9 4.9 215.63 -7.815654
 B020    2010.209_5.2 5.2 342.17 -7.816217
 B035    2007.057_5.4 5.4 243.74 -7.817546
 B067    2008.117_5.0 5.0 342.37 -7.820231
 B040    2011.300_4.9 4.9 301.28 -7.823214
 B086    2010.345_4.8 4.8 185.40 -7.823700
 B020    2013.030_5.4 5.4 450.94 -7.825006
 B031    2010.133_5.3 5.3 319.84 -7.825236
 B030    2012.203_5.4 5.4 450.04 -7.826150
 B065    2013.149_4.9 4.9 285.08 -7.829175
 B089    2010.345_4.8 4.8 192.90 -7.830359
 B040    2007.304_5.6 5.6 497.89 -7.832095
 B033    2013.030_5.4 5.4 381.57 -7.834885
 B072    2008.117_5.0 5.0 415.39 -7.835430
 B933    2012.295_5.4 5.4 499.27 -7.836691
 B039    2008.075_5.7 5.7 392.64 -7.837301
 B024    2013.030_5.4 5.4 396.83 -7.841591
 B933    2012.102_6.0 6.0 495.06 -7.842017
 B087    2010.263_4.9 4.9 208.12 -7.848056
 B028    2010.133_5.3 5.3 399.89 -7.848118
 B027    2010.133_5.3 5.3 400.25 -7.848343
 B058    2013.149_4.9 4.9 294.91 -7.849719
 B026    2008.093_5.2 5.2 471.27 -7.851306
 B040    2008.075_5.7 5.7 388.73 -7.851437
 B019    2010.209_5.2 5.2 375.45 -7.852029
 B022    2012.035_5.6 5.6 439.10 -7.852327
 B082    2008.051_4.8 4.8 174.51 -7.853101
 B032    2008.199_5.7 5.7 497.31 -7.856335
 B028    2010.209_5.2 5.2 260.10 -7.858792
 B030    2008.103_5.5 5.5 419.17 -7.859000
 B039    2007.304_5.6 5.6 458.53 -7.859232
 B036    2008.300_5.0 5.0 267.79 -7.859357
 B031    2011.286_5.6 5.6 329.71 -7.860062
 B066    2008.117_5.0 5.0 334.10 -7.862178
 B901    2008.117_5.0 5.0 429.74 -7.866529
 B033    2010.133_5.3 5.3 322.09 -7.866940
 B093    2012.295_5.4 5.4 479.44 -7.871629
 B033    2011.286_5.6 5.6 350.06 -7.872912
 B057    2011.239_4.8 4.8 207.46 -7.873372
 B066    2009.276_5.2 5.2 344.84 -7.874247
 B032    2008.103_5.5 5.5 366.72 -7.876742
 B004    2008.255_5.2 5.2 354.85 -7.882608
 B024    2011.286_5.6 5.6 386.24 -7.884751
 B093    2010.105_4.9 4.9 233.72 -7.884928
 B073    2011.300_4.9 4.9 411.49 -7.885456
 B003    2012.232_5.6 5.6 377.00 -7.887850
 B927    2012.232_5.6 5.6 374.01 -7.888279
 B024    2010.127_5.5 5.5 490.68 -7.889042
 B917    2009.083_5.0 5.0 273.60 -7.889442
 B033    2008.117_5.0 5.0 493.38 -7.890922
 B086    2010.105_4.9 4.9 216.53 -7.893972
 B917    2009.262_5.2 5.2 380.15 -7.897230
 B033    2013.284_5.2 5.2 311.02 -7.897655
 B031    2008.103_5.5 5.5 366.41 -7.898071
 B040    2008.300_5.0 5.0 253.14 -7.899775
 B022    2013.030_5.4 5.4 413.97 -7.902409
 B032    2010.133_5.3 5.3 320.24 -7.904601
 B023    2011.286_5.6 5.6 466.13 -7.905875
 B081    2010.345_4.8 4.8 209.34 -7.905880
 B020    2011.039_5.4 5.4 445.87 -7.908550
 B039    2007.323_5.8 5.8 480.03 -7.909311
 B024    2010.209_5.2 5.2 274.07 -7.911872
 B935    2013.335_5.5 5.5 332.92 -7.914494
 B035    2008.300_5.0 5.0 267.51 -7.915033
 B054    2013.044_5.3 5.3 366.05 -7.920124
 B072    2009.276_5.2 5.2 239.48 -7.920730
 B026    2008.103_5.5 5.5 387.94 -7.921622
 B030    2010.133_5.3 5.3 380.16 -7.923770
 B035    2008.075_5.7 5.7 303.80 -7.924343
 B916    2009.262_5.2 5.2 476.06 -7.924641
 B036    2013.089_4.9 4.9 341.36 -7.924809
 B941    2010.209_5.2 5.2 469.60 -7.925161
 B045    2010.133_5.3 5.3 303.77 -7.925249
 B031    2009.241_5.0 5.0 425.76 -7.926656
 B027    2011.039_5.4 5.4 385.95 -7.926777
 B065    2008.117_5.0 5.0 341.27 -7.926991
 B082    2010.345_4.8 4.8 192.76 -7.927873
 B013    2013.216_5.5 5.5 388.91 -7.929096
 B032    2013.030_5.4 5.4 358.95 -7.930856
 B089    2010.105_4.9 4.9 223.99 -7.932085
 B030    2013.030_5.4 5.4 411.06 -7.933196
 B026    2012.035_5.6 5.6 497.51 -7.934718
 B916    2008.117_5.0 5.0 422.39 -7.941784
 B081    2009.276_4.9 4.9 316.21 -7.942665
 B082    2010.105_4.9 4.9 223.83 -7.943347
 B075    2009.276_4.9 4.9 248.79 -7.948255
 B031    2013.030_5.4 5.4 358.65 -7.949339
 B026    2012.232_5.6 5.6 467.10 -7.950557
 B014    2013.216_5.5 5.5 353.43 -7.950614
 B026    2008.199_5.2 5.2 472.46 -7.952551
 B030    2008.019_4.9 4.9 414.30 -7.953077
 B088    2009.276_4.9 4.9 354.20 -7.957298
 B024    2012.035_5.6 5.6 468.45 -7.958031
 B935    2010.133_5.3 5.3 328.78 -7.959335
 B030    2011.286_5.6 5.6 384.01 -7.960854
 B022    2010.209_5.2 5.2 298.59 -7.961590
 B030    2013.335_5.5 5.5 436.23 -7.964379
 B082    2009.276_4.9 4.9 331.54 -7.965217
 B020    2013.216_5.5 5.5 443.57 -7.968811
 B941    2012.035_5.6 5.6 482.31 -7.975942
 B035    2013.089_4.9 4.9 341.10 -7.979000
 B916    2009.083_5.0 5.0 368.77 -7.980730
 B030    2013.058_5.2 5.2 341.99 -7.981082
 B067    2009.276_5.2 5.2 341.29 -7.982284
 B030    2009.308_5.3 5.3 356.21 -7.983715
 B045    2011.169_5.2 5.2 311.47 -7.984512
 B026    2013.030_5.4 5.4 378.81 -7.984779
 B081    2008.051_4.8 4.8 191.05 -7.986858
 B058    2008.117_5.0 5.0 339.47 -7.989067
 B026    2011.286_5.6 5.6 365.36 -7.990889
 B089    2009.276_4.9 4.9 331.35 -7.991541
 B028    2008.103_5.5 5.5 414.95 -7.991798
 B918    2010.095_5.1 5.1 389.65 -7.992500
 B031    2009.308_5.3 5.3 301.04 -7.992881
 B033    2011.039_5.4 5.4 353.33 -7.992943
 B087    2009.276_4.9 4.9 342.04 -7.993616
 B032    2013.335_5.5 5.5 376.13 -7.993730
 B022    2008.255_5.2 5.2 424.60 -7.995708
 B022    2012.277_5.0 5.0 475.31 -7.997335
 B087    2013.149_4.9 4.9 336.60 -7.998095
 B006    2013.216_5.5 5.5 337.34 -7.999065
 B033    2012.203_5.4 5.4 370.72 -7.999101
 B019    2009.308_5.3 5.3 464.91 -8.000479
 B012    2005.323_5.3 5.3 249.86 -8.000650
 B033    2013.058_5.2 5.2 300.26 -8.001524
 B204    2010.209_5.2 5.2 405.88 -8.001656
 B084    2009.276_4.9 4.9 334.64 -8.009549
 B028    2013.030_5.4 5.4 406.31 -8.010053
 B918    2009.083_5.0 5.0 341.29 -8.010762
 B933    2011.300_4.9 4.9 316.43 -8.010861
 B033    2009.308_5.3 5.3 320.27 -8.011191
 B011    2012.232_5.6 5.6 441.21 -8.011231
 B027    2007.129_5.4 5.4 491.08 -8.011584
 B032    2013.284_5.2 5.2 339.28 -8.013022
 B023    2013.030_5.4 5.4 476.44 -8.015151
 B019    2012.171_5.3 5.3 474.77 -8.016876
 B916    2011.107_4.8 4.8 269.24 -8.018536
 B031    2013.058_5.2 5.2 284.83 -8.021542
 B086    2010.263_4.9 4.9 208.89 -8.021582
 B032    2009.308_5.3 5.3 301.36 -8.022653
 B935    2013.030_5.4 5.4 484.13 -8.023645
 B004    2005.323_5.3 5.3 331.76 -8.024444
 B201    2010.209_5.2 5.2 412.62 -8.024647
 B926    2012.232_5.6 5.6 399.65 -8.026674
 B026    2010.127_5.5 5.5 483.08 -8.026696
 B036    2013.030_5.4 5.4 378.02 -8.027781
 B023    2012.171_5.3 5.3 464.35 -8.028032
 B024    2012.222_4.8 4.8 495.43 -8.029615
 B032    2012.203_5.4 5.4 397.32 -8.030752
 B024    2007.045_5.2 5.2 390.12 -8.030902
 B022    2007.045_5.2 5.2 408.60 -8.030930
 B036    2010.133_5.3 5.3 281.27 -8.031982
 B031    2013.284_5.2 5.2 338.91 -8.032845
 B917    2011.049_5.2 5.2 419.55 -8.035105
 B031    2013.335_5.5 5.5 375.72 -8.038413
 B065    2009.276_5.2 5.2 333.01 -8.038968
 B032    2013.058_5.2 5.2 285.18 -8.040222
 B054    2012.044_5.6 5.6 391.22 -8.041299
 B030    2013.284_5.2 5.2 390.69 -8.041731
 B086    2009.276_4.9 4.9 337.80 -8.043547
 B036    2008.103_5.5 5.5 383.69 -8.045209
 B073    2011.107_4.8 4.8 320.66 -8.046930
 B084    2010.105_4.9 4.9 216.97 -8.047086
 B916    2013.149_4.9 4.9 291.19 -8.049288
 B006    2012.232_5.6 5.6 424.04 -8.049512
 B900    2011.300_4.9 4.9 440.87 -8.049678
 B023    2012.232_5.6 5.6 480.38 -8.050497
 B081    2010.105_4.9 4.9 240.44 -8.050651
 B040    2009.219_5.0 5.0 245.41 -8.052797
 B022    2008.199_5.2 5.2 487.31 -8.053630
 B082    2010.263_4.9 4.9 216.21 -8.053721
 B045    2013.030_5.4 5.4 462.75 -8.053901
 B026    2008.319_5.3 5.3 373.34 -8.054901
 B901    2011.300_4.9 4.9 439.86 -8.055222
 B054    2009.274_5.1 5.1 421.76 -8.055259
 B027    2008.103_5.5 5.5 415.18 -8.055756
 B028    2007.129_5.4 5.4 490.65 -8.055808
 B030    2008.319_5.3 5.3 400.50 -8.059215
 B066    2011.300_4.9 4.9 330.10 -8.059971
 B030    2012.203_5.2 5.2 454.76 -8.060958
 B018    2013.216_5.5 5.5 437.24 -8.063727
 B036    2008.117_5.0 5.0 438.06 -8.064399
 B024    2013.058_5.2 5.2 372.71 -8.064869
 B054    2009.276_5.2 5.2 424.96 -8.065349
 B078    2011.300_4.9 4.9 423.28 -8.067281
 B028    2012.203_5.4 5.4 494.71 -8.068649
 B028    2007.176_5.0 5.0 409.84 -8.070568
 B934    2013.335_5.5 5.5 361.06 -8.071936
 B027    2014.072_5.5 5.5 439.11 -8.072480
 B916    2010.095_5.1 5.1 417.94 -8.075448
 B027    2012.203_5.4 5.4 495.14 -8.076241
 B024    2011.039_5.4 5.4 387.12 -8.078242
 B020    2009.308_5.3 5.3 432.11 -8.078489
 B933    2010.133_5.3 5.3 334.25 -8.079233
 B089    2010.263_4.9 4.9 216.36 -8.079823
 B020    2012.171_5.3 5.3 442.59 -8.080918
 B917    2010.095_5.0 5.0 321.23 -8.082317
 B030    2011.039_5.4 5.4 386.73 -8.085391
 B012    2012.047_4.9 4.9 190.71 -8.085566
 B076    2011.300_4.9 4.9 412.13 -8.086450
 B079    2008.117_5.0 5.0 427.18 -8.087562
 B027    2012.171_5.3 5.3 385.47 -8.089404
 B024    2009.308_5.3 5.3 369.16 -8.090720
 B934    2011.300_4.9 4.9 290.87 -8.095042
 B031    2008.319_5.3 5.3 347.37 -8.096210
 B917    2010.128_5.0 5.0 339.02 -8.096313
 B019    2013.058_5.2 5.2 472.82 -8.097556
 B917    2010.142_5.1 5.1 338.48 -8.098646
 B030    2014.072_5.5 5.5 419.22 -8.099361
 B917    2010.257_5.0 5.0 407.52 -8.100468
 B028    2008.019_4.9 4.9 472.62 -8.100553
 B040    2008.103_5.5 5.5 483.96 -8.100556
 B045    2011.286_5.6 5.6 426.49 -8.100843
 B918    2011.107_4.8 4.8 297.99 -8.101031
 B027    2007.176_5.0 5.0 410.27 -8.103101
 B022    2010.127_5.5 5.5 497.33 -8.105695
 B032    2008.199_5.4 5.4 490.37 -8.109017
 B935    2014.072_5.5 5.5 344.74 -8.109531
 B943    2012.232_5.6 5.6 465.27 -8.110347
 B916    2010.128_5.0 5.0 435.24 -8.113688
 B040    2013.335_5.5 5.5 394.71 -8.114655
 B033    2013.335_5.5 5.5 374.24 -8.115236
 B916    2010.142_5.1 5.1 434.74 -8.115280
 B918    2013.149_4.9 4.9 278.22 -8.115504
 B031    2008.199_5.4 5.4 490.13 -8.116076
 B066    2009.276_4.9 4.9 341.02 -8.116399
 B027    2009.308_5.3 5.3 358.32 -8.117485
 B081    2010.263_4.9 4.9 232.80 -8.117791
 B032    2014.072_5.5 5.5 359.25 -8.117792
 B031    2014.072_5.5 5.5 358.84 -8.117861
 B072    2011.300_4.9 4.9 424.02 -8.123118
 B036    2011.286_5.6 5.6 342.57 -8.123171
 B031    2012.203_5.4 5.4 396.93 -8.123388
 B026    2008.199_5.4 5.4 466.07 -8.123460
 B086    2013.149_4.9 4.9 340.73 -8.124082
 B066    2008.121_5.4 5.4 474.47 -8.125460
 B918    2011.049_5.2 5.2 487.48 -8.125481
 B028    2011.039_5.4 5.4 385.69 -8.126625
 B084    2010.345_4.8 4.8 185.46 -8.129042
 B027    2013.030_5.4 5.4 406.54 -8.130110
 B934    2013.089_4.9 4.9 245.17 -8.130144
 B057    2009.274_5.1 5.1 458.42 -8.130209
 B026    2011.039_5.4 5.4 366.57 -8.131044
 B035    2012.203_5.4 5.4 286.36 -8.131135
 B018    2010.209_5.2 5.2 431.87 -8.131751
 B035    2011.286_5.6 5.6 342.51 -8.132888
 B040    2014.072_5.5 5.5 393.39 -8.133407
 B027    2013.058_5.2 5.2 349.20 -8.133462
 B028    2013.335_5.5 5.5 458.60 -8.134620
 B067    2011.300_4.9 4.9 338.98 -8.137247
 B039    2009.219_5.0 5.0 216.26 -8.138705
 B022    2011.067_5.1 5.1 473.17 -8.142434
 B028    2013.058_5.2 5.2 348.90 -8.142767
 B934    2010.133_5.3 5.3 367.86 -8.142949
 B039    2014.072_5.5 5.5 393.21 -8.144530
 B039    2013.335_5.5 5.5 391.54 -8.146433
 B901    2011.107_4.8 4.8 333.67 -8.146499
 B032    2008.319_5.3 5.3 347.68 -8.146809
 B022    2013.216_5.5 5.5 478.67 -8.147452
 B004    2012.047_4.9 4.9 281.61 -8.147452
 B033    2012.203_5.2 5.2 375.55 -8.149410
 B028    2014.072_5.5 5.5 438.76 -8.150526
 B093    2009.276_4.9 4.9 327.17 -8.150829
 B024    2012.258_4.9 4.9 473.15 -8.150887
 B035    2008.103_5.5 5.5 383.63 -8.150966
 B022    2011.039_5.4 5.4 406.70 -8.151832
 B026    2013.058_5.2 5.2 347.41 -8.152905
 B032    2011.039_5.4 5.4 333.00 -8.153090
 B202    2010.209_5.2 5.2 415.64 -8.154272
 B072    2011.107_4.8 4.8 326.81 -8.154429
 B075    2008.117_5.0 5.0 406.27 -8.154749
 B045    2011.039_5.4 5.4 430.34 -8.154975
 B035    2010.133_5.3 5.3 281.11 -8.155355
 B032    2012.203_5.2 5.2 401.73 -8.155453
 B023    2013.058_5.2 5.2 451.88 -8.156724
 B076    2011.107_4.8 4.8 319.33 -8.157126
 B022    2008.199_5.4 5.4 481.16 -8.159533
 B045    2013.058_5.2 5.2 370.43 -8.160139
 B026    2008.075_5.7 5.7 419.55 -8.160295
 B035    2013.030_5.4 5.4 377.96 -8.160732
 B013    2012.232_5.6 5.6 465.31 -8.162002
