#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2012  6 27  4 22 33  B003 floequarybwa2005 418.64 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B003 floequarybwa2005 370.72 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B003 floequarybwa2005 377.00 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B003 floequarybwa2005 360.15 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B003 floequarybwa2005 381.80 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B003 floequarybwa2005 297.03 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B004 hokofallsbwa2005 271.42 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B004 hokofallsbwa2005 433.97 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B004 hokofallsbwa2005 246.77 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B004 hokofallsbwa2005 256.03 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B004 hokofallsbwa2005 362.47 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B004 hokofallsbwa2005 375.97 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B004 hokofallsbwa2005 354.47 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B004 hokofallsbwa2005 358.06 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B004 hokofallsbwa2005 358.21 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B004 hokofallsbwa2005 353.84 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B004 hokofallsbwa2005 349.71 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B004 hokofallsbwa2005 359.03 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B004 hokofallsbwa2005 331.76 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B004 hokofallsbwa2005 337.83 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B004 hokofallsbwa2005 351.56 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
