#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2008  9 11 23 13 34  B004 hokofallsbwa2005 354.41 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B004 hokofallsbwa2005 354.85 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B004 hokofallsbwa2005 348.21 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B004 hokofallsbwa2005 384.69 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B004 hokofallsbwa2005 234.98 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B004 hokofallsbwa2005 281.57 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B004 hokofallsbwa2005 281.61 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B004 hokofallsbwa2005 393.74 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B004 hokofallsbwa2005 351.89 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B004 hokofallsbwa2005 358.96 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B004 hokofallsbwa2005 335.45 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B004 hokofallsbwa2005 357.84 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B004 hokofallsbwa2005 270.83 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B005 shoresnw1bwa2005 341.16 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B005 shoresnw1bwa2005 427.88 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B005 shoresnw1bwa2005 312.46 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B005 shoresnw1bwa2005 320.62 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B005 shoresnw1bwa2005 432.46 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B005 shoresnw1bwa2005 446.24 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B005 shoresnw1bwa2005 424.13 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B005 shoresnw1bwa2005 428.11 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B005 shoresnw1bwa2005 427.14 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B005 shoresnw1bwa2005 422.72 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B005 shoresnw1bwa2005 418.83 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B005 shoresnw1bwa2005 427.92 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B005 shoresnw1bwa2005 401.94 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B005 shoresnw1bwa2005 408.11 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B005 shoresnw1bwa2005 421.83 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B005 shoresnw1bwa2005 419.51 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B005 shoresnw1bwa2005 420.04 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B005 shoresnw1bwa2005 418.65 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B005 shoresnw1bwa2005 454.94 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B005 shoresnw1bwa2005 302.19 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B005 shoresnw1bwa2005 352.00 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B005 shoresnw1bwa2005 351.96 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B005 shoresnw1bwa2005 463.96 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B005 shoresnw1bwa2005 417.84 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B005 shoresnw1bwa2005 423.87 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B005 shoresnw1bwa2005 405.84 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B005 shoresnw1bwa2005 428.05 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B005 shoresnw1bwa2005 337.14 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B006 shoresne2bwa2005 341.36 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B006 shoresne2bwa2005 427.84 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B006 shoresne2bwa2005 312.66 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B006 shoresne2bwa2005 320.81 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B006 shoresne2bwa2005 432.67 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B006 shoresne2bwa2005 446.44 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B006 shoresne2bwa2005 424.33 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B006 shoresne2bwa2005 428.31 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B006 shoresne2bwa2005 427.33 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B006 shoresne2bwa2005 422.90 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B006 shoresne2bwa2005 419.02 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B006 shoresne2bwa2005 428.11 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B006 shoresne2bwa2005 402.14 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B006 shoresne2bwa2005 408.31 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B006 shoresne2bwa2005 422.03 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B006 shoresne2bwa2005 419.69 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B006 shoresne2bwa2005 420.21 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B006 shoresne2bwa2005 418.85 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B006 shoresne2bwa2005 455.14 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B006 shoresne2bwa2005 302.39 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B006 shoresne2bwa2005 352.20 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B006 shoresne2bwa2005 352.16 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B006 shoresne2bwa2005 464.16 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B006 shoresne2bwa2005 418.02 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B006 shoresne2bwa2005 424.04 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B006 shoresne2bwa2005 406.04 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B006 shoresne2bwa2005 428.24 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B006 shoresne2bwa2005 337.34 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B007 shoresso3bwa2005 341.18 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B007 shoresso3bwa2005 427.65 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B007 shoresso3bwa2005 312.52 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B007 shoresso3bwa2005 320.68 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B007 shoresso3bwa2005 432.48 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B007 shoresso3bwa2005 446.24 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B007 shoresso3bwa2005 424.15 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B007 shoresso3bwa2005 428.12 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B007 shoresso3bwa2005 427.09 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B007 shoresso3bwa2005 422.66 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B007 shoresso3bwa2005 418.78 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B007 shoresso3bwa2005 427.87 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B007 shoresso3bwa2005 401.92 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B007 shoresso3bwa2005 408.09 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B007 shoresso3bwa2005 421.81 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B007 shoresso3bwa2005 419.43 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B007 shoresso3bwa2005 419.95 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B007 shoresso3bwa2005 418.64 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B007 shoresso3bwa2005 454.95 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B007 shoresso3bwa2005 302.24 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B007 shoresso3bwa2005 351.99 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B007 shoresso3bwa2005 351.96 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B007 shoresso3bwa2005 463.97 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B007 shoresso3bwa2005 417.76 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B007 shoresso3bwa2005 423.78 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B007 shoresso3bwa2005 405.83 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B007 shoresso3bwa2005 428.03 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B007 shoresso3bwa2005 337.19 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B009 pacgeosi1bbc2005 327.92 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B009 pacgeosi1bbc2005 492.46 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B009 pacgeosi1bbc2005 287.19 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B009 pacgeosi1bbc2005 293.10 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B009 pacgeosi1bbc2005 419.93 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B009 pacgeosi1bbc2005 436.73 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B009 pacgeosi1bbc2005 409.24 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B009 pacgeosi1bbc2005 415.97 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B009 pacgeosi1bbc2005 433.15 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B009 pacgeosi1bbc2005 428.97 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B009 pacgeosi1bbc2005 424.11 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B009 pacgeosi1bbc2005 434.08 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B009 pacgeosi1bbc2005 400.46 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B009 pacgeosi1bbc2005 404.13 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B009 pacgeosi1bbc2005 417.25 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B009 pacgeosi1bbc2005 436.31 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B009 pacgeosi1bbc2005 436.64 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B009 pacgeosi1bbc2005 412.63 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B009 pacgeosi1bbc2005 444.45 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B009 pacgeosi1bbc2005 281.48 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B009 pacgeosi1bbc2005 347.45 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B009 pacgeosi1bbc2005 344.47 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B009 pacgeosi1bbc2005 453.34 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B009 pacgeosi1bbc2005 432.68 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B009 pacgeosi1bbc2005 440.97 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B009 pacgeosi1bbc2005 397.47 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B009 pacgeosi1bbc2005 423.18 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B009 pacgeosi1bbc2005 313.00 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B010 pacgeosi2bbc2005 327.88 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B010 pacgeosi2bbc2005 492.62 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B010 pacgeosi2bbc2005 287.12 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B010 pacgeosi2bbc2005 293.03 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B010 pacgeosi2bbc2005 419.89 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B010 pacgeosi2bbc2005 436.69 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B010 pacgeosi2bbc2005 409.19 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B010 pacgeosi2bbc2005 415.93 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B010 pacgeosi2bbc2005 433.15 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B010 pacgeosi2bbc2005 428.97 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B010 pacgeosi2bbc2005 424.12 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B010 pacgeosi2bbc2005 434.09 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B010 pacgeosi2bbc2005 400.44 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B010 pacgeosi2bbc2005 404.11 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B010 pacgeosi2bbc2005 417.23 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B010 pacgeosi2bbc2005 436.34 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B010 pacgeosi2bbc2005 436.67 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B010 pacgeosi2bbc2005 412.61 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B010 pacgeosi2bbc2005 444.42 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B010 pacgeosi2bbc2005 281.42 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B010 pacgeosi2bbc2005 347.44 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B010 pacgeosi2bbc2005 344.45 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B010 pacgeosi2bbc2005 453.30 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B010 pacgeosi2bbc2005 432.71 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
