sta4 year mo dy hr mi sec geodkm
B035 2006 1 11 10 2 35 341.29
B036 2006 1 11 10 2 35 341.35
B039 2006 1 11 10 2 35 454.86
B040 2006 1 11 10 2 35 441.79
B045 2006 1 11 10 2 35 428.10
B933 2006 1 11 10 2 35 462.08
B934 2006 1 11 10 2 35 495.40
B935 2006 1 11 10 2 35 448.64
B030 2006 3 22 5 42 2 478.89
B031 2006 3 22 5 42 2 420.09
B032 2006 3 22 5 42 2 420.51
B033 2006 3 22 5 42 2 405.64
B035 2006 3 22 5 42 2 334.58
B036 2006 3 22 5 42 2 334.84
B039 2006 3 22 5 42 2 359.20
B040 2006 3 22 5 42 2 374.27
B045 2006 3 22 5 42 2 228.42
B057 2006 3 22 5 42 2 464.76
B933 2006 3 22 5 42 2 241.37
B934 2006 3 22 5 42 2 272.10
B935 2006 3 22 5 42 2 263.13
B022 2006 3 25 3 16 7 496.72
B024 2006 3 25 3 16 7 467.19
B026 2006 3 25 3 16 7 435.90
B027 2006 3 25 3 16 7 402.38
B028 2006 3 25 3 16 7 401.99
B030 2006 3 25 3 16 7 374.16
B031 2006 3 25 3 16 7 313.89
B032 2006 3 25 3 16 7 314.31
B033 2006 3 25 3 16 7 307.78
B035 2006 3 25 3 16 7 252.88
B036 2006 3 25 3 16 7 253.08
B039 2006 3 25 3 16 7 320.27
B040 2006 3 25 3 16 7 322.29
B045 2006 3 25 3 16 7 247.23
B933 2006 3 25 3 16 7 277.09
B934 2006 3 25 3 16 7 310.69
B935 2006 3 25 3 16 7 273.23
B024 2006 3 25 20 14 5 476.31
B026 2006 3 25 20 14 5 444.85
B027 2006 3 25 20 14 5 409.94
B028 2006 3 25 20 14 5 409.54
B030 2006 3 25 20 14 5 380.76
B031 2006 3 25 20 14 5 320.63
B032 2006 3 25 20 14 5 321.04
B033 2006 3 25 20 14 5 313.35
B035 2006 3 25 20 14 5 256.22
B036 2006 3 25 20 14 5 256.44
B039 2006 3 25 20 14 5 319.44
B040 2006 3 25 20 14 5 322.71
B045 2006 3 25 20 14 5 241.28
B933 2006 3 25 20 14 5 270.27
B934 2006 3 25 20 14 5 303.85
B935 2006 3 25 20 14 5 268.08
B033 2006 5 12 10 37 32 498.90
B035 2006 5 12 10 37 32 413.46
B036 2006 5 12 10 37 32 413.70
B039 2006 5 12 10 37 32 297.76
B040 2006 5 12 10 37 32 338.44
B045 2006 5 12 10 37 32 206.82
B054 2006 5 12 10 37 32 119.52
B057 2006 5 12 10 37 32 90.24
B058 2006 5 12 10 37 32 248.68
B065 2006 5 12 10 37 32 258.53
B066 2006 5 12 10 37 32 242.48
B067 2006 5 12 10 37 32 252.71
B072 2006 5 12 10 37 32 397.07
B073 2006 5 12 10 37 32 380.12
B075 2006 5 12 10 37 32 379.64
B076 2006 5 12 10 37 32 383.06
B078 2006 5 12 10 37 32 396.44
B079 2006 5 12 10 37 32 414.65
B900 2006 5 12 10 37 32 427.71
B901 2006 5 12 10 37 32 420.24
B933 2006 5 12 10 37 32 170.24
B934 2006 5 12 10 37 32 137.35
B935 2006 5 12 10 37 32 196.76
B081 2006 5 24 4 20 30 195.54
B082 2006 5 24 4 20 30 178.96
B084 2006 5 24 4 20 30 171.39
B086 2006 5 24 4 20 30 171.56
B087 2006 5 24 4 20 30 171.39
B088 2006 5 24 4 20 30 163.84
B089 2006 5 24 4 20 30 179.11
B093 2006 5 24 4 20 30 189.71
B916 2006 5 24 4 20 30 471.40
B917 2006 5 24 4 20 30 375.63
B918 2006 5 24 4 20 30 443.56
B921 2006 5 24 4 20 30 403.75
B020 2006 5 27 21 50 49 470.16
B022 2006 5 27 21 50 49 436.26
B024 2006 5 27 21 50 49 422.21
B026 2006 5 27 21 50 49 407.30
B027 2006 5 27 21 50 49 443.71
B028 2006 5 27 21 50 49 443.50
B030 2006 5 27 21 50 49 451.80
B031 2006 5 27 21 50 49 401.08
B032 2006 5 27 21 50 49 401.36
B033 2006 5 27 21 50 49 425.75
B035 2006 5 27 21 50 49 424.36
B036 2006 5 27 21 50 49 424.41
B020 2006 8 31 15 22 20 479.25
B022 2006 8 31 15 22 20 448.02
B024 2006 8 31 15 22 20 436.57
B026 2006 8 31 15 22 20 424.30
B027 2006 8 31 15 22 20 467.99
B028 2006 8 31 15 22 20 467.80
B030 2006 8 31 15 22 20 479.38
B031 2006 8 31 15 22 20 430.42
B032 2006 8 31 15 22 20 430.69
B033 2006 8 31 15 22 20 456.97
B035 2006 8 31 15 22 20 458.74
B036 2006 8 31 15 22 20 458.78
B030 2006 10 17 20 53 18 485.81
B031 2006 10 17 20 53 18 428.73
B032 2006 10 17 20 53 18 429.14
B033 2006 10 17 20 53 18 409.51
B035 2006 10 17 20 53 18 332.18
B036 2006 10 17 20 53 18 332.45
B039 2006 10 17 20 53 18 339.16
B040 2006 10 17 20 53 18 358.57
B045 2006 10 17 20 53 18 194.76
B054 2006 10 17 20 53 18 455.96
B057 2006 10 17 20 53 18 419.54
B933 2006 10 17 20 53 18 202.55
B934 2006 10 17 20 53 18 231.81
B935 2006 10 17 20 53 18 230.54
B022 2007 1 31 15 24 50 462.08
B024 2007 1 31 15 24 50 436.58
B026 2007 1 31 15 24 50 409.53
B027 2007 1 31 15 24 50 399.77
B028 2007 1 31 15 24 50 399.43
B030 2007 1 31 15 24 50 384.44
B031 2007 1 31 15 24 50 324.82
B032 2007 1 31 15 24 50 325.20
B033 2007 1 31 15 24 50 331.60
B035 2007 1 31 15 24 50 298.43
B036 2007 1 31 15 24 50 298.58
B039 2007 1 31 15 24 50 389.99
B040 2007 1 31 15 24 50 385.07
B045 2007 1 31 15 24 50 335.29
B933 2007 1 31 15 24 50 366.23
B934 2007 1 31 15 24 50 399.82
B935 2007 1 31 15 24 50 359.63
B020 2007 1 31 15 38 36 484.22
B022 2007 1 31 15 38 36 440.45
B023 2007 1 31 15 38 36 493.45
B024 2007 1 31 15 38 36 415.01
B026 2007 1 31 15 38 36 388.09
B027 2007 1 31 15 38 36 380.09
B028 2007 1 31 15 38 36 379.76
B030 2007 1 31 15 38 36 366.37
B031 2007 1 31 15 38 36 307.12
B032 2007 1 31 15 38 36 307.50
B033 2007 1 31 15 38 36 315.90
B035 2007 1 31 15 38 36 287.38
B036 2007 1 31 15 38 36 287.51
B039 2007 1 31 15 38 36 384.90
B040 2007 1 31 15 38 36 377.80
B045 2007 1 31 15 38 36 339.98
B933 2007 1 31 15 38 36 372.54
B934 2007 1 31 15 38 36 406.05
B935 2007 1 31 15 38 36 362.65
B019 2007 2 11 15 34 49 489.05
B020 2007 2 11 15 34 49 457.13
B022 2007 2 11 15 34 49 419.07
B023 2007 2 11 15 34 49 480.38
B024 2007 2 11 15 34 49 400.67
B026 2007 2 11 15 34 49 381.30
B027 2007 2 11 15 34 49 404.08
B028 2007 2 11 15 34 49 403.83
B030 2007 2 11 15 34 49 406.06
B031 2007 2 11 15 34 49 352.48
B032 2007 2 11 15 34 49 352.78
B033 2007 2 11 15 34 49 373.55
B035 2007 2 11 15 34 49 366.51
B036 2007 2 11 15 34 49 366.57
B039 2007 2 11 15 34 49 478.41
B040 2007 2 11 15 34 49 466.17
B045 2007 2 11 15 34 49 446.06
B933 2007 2 11 15 34 49 478.98
B935 2007 2 11 15 34 49 467.79
B019 2007 2 14 22 12 60 478.82
B020 2007 2 14 22 12 60 446.81
B022 2007 2 14 22 12 60 408.60
B023 2007 2 14 22 12 60 469.94
B024 2007 2 14 22 12 60 390.12
B026 2007 2 14 22 12 60 370.72
B027 2007 2 14 22 12 60 394.12
B028 2007 2 14 22 12 60 393.87
B030 2007 2 14 22 12 60 396.74
B031 2007 2 14 22 12 60 343.46
B032 2007 2 14 22 12 60 343.77
B033 2007 2 14 22 12 60 365.29
B035 2007 2 14 22 12 60 360.08
B036 2007 2 14 22 12 60 360.14
B039 2007 2 14 22 12 60 473.80
B040 2007 2 14 22 12 60 460.79
B045 2007 2 14 22 12 60 445.12
B933 2007 2 14 22 12 60 478.65
B935 2007 2 14 22 12 60 466.20
B027 2007 2 26 12 20 0 457.71
B028 2007 2 26 12 20 0 457.27
B030 2007 2 26 12 20 0 410.25
B031 2007 2 26 12 20 0 359.19
B032 2007 2 26 12 20 0 359.57
B033 2007 2 26 12 20 0 330.19
B035 2007 2 26 12 20 0 243.74
B036 2007 2 26 12 20 0 244.03
B039 2007 2 26 12 20 0 223.66
B040 2007 2 26 12 20 0 247.23
B045 2007 2 26 12 20 0 81.01
B054 2007 2 26 12 20 0 385.65
B057 2007 2 26 12 20 0 352.00
B933 2007 2 26 12 20 0 102.46
B934 2007 2 26 12 20 0 135.66
B935 2007 2 26 12 20 0 114.70
B019 2007 4 29 0 49 6 474.99
B020 2007 4 29 0 49 6 442.30
B022 2007 4 29 0 49 6 401.57
B023 2007 4 29 0 49 6 459.96
B024 2007 4 29 0 49 6 380.18
B026 2007 4 29 0 49 6 357.72
B027 2007 4 29 0 49 6 370.51
B028 2007 4 29 0 49 6 370.24
B030 2007 4 29 0 49 6 368.34
B031 2007 4 29 0 49 6 313.06
B032 2007 4 29 0 49 6 313.39
B033 2007 4 29 0 49 6 331.87
B035 2007 4 29 0 49 6 322.14
B036 2007 4 29 0 49 6 322.21
B039 2007 4 29 0 49 6 434.08
B040 2007 4 29 0 49 6 421.63
B045 2007 4 29 0 49 6 406.53
B933 2007 4 29 0 49 6 440.68
B934 2007 4 29 0 49 6 473.98
B935 2007 4 29 0 49 6 426.97
B027 2007 5 9 7 50 9 491.08
B028 2007 5 9 7 50 9 490.65
B030 2007 5 9 7 50 9 443.38
B031 2007 5 9 7 50 9 392.63
B032 2007 5 9 7 50 9 393.00
B033 2007 5 9 7 50 9 363.27
B035 2007 5 9 7 50 9 276.35
B036 2007 5 9 7 50 9 276.64
B039 2007 5 9 7 50 9 247.29
B040 2007 5 9 7 50 9 273.72
B045 2007 5 9 7 50 9 88.73
B054 2007 5 9 7 50 9 367.18
B057 2007 5 9 7 50 9 332.46
B058 2007 5 9 7 50 9 493.16
B066 2007 5 9 7 50 9 487.39
B067 2007 5 9 7 50 9 497.05
B933 2007 5 9 7 50 9 95.83
B934 2007 5 9 7 50 9 126.54
B935 2007 5 9 7 50 9 124.38
B026 2007 6 25 2 32 29 477.09
B027 2007 6 25 2 32 29 410.27
B028 2007 6 25 2 32 29 409.84
B030 2007 6 25 2 32 29 364.52
B031 2007 6 25 2 32 29 312.03
B032 2007 6 25 2 32 29 312.40
B033 2007 6 25 2 32 29 285.24
B035 2007 6 25 2 32 29 201.60
B036 2007 6 25 2 32 29 201.88
B039 2007 6 25 2 32 29 205.40
B040 2007 6 25 2 32 29 221.83
B045 2007 6 25 2 32 29 105.00
B054 2007 6 25 2 32 29 424.71
B057 2007 6 25 2 32 29 392.41
B933 2007 6 25 2 32 29 138.21
B934 2007 6 25 2 32 29 170.98
B935 2007 6 25 2 32 29 130.09
B026 2007 7 27 1 37 48 493.62
B026 2007 7 27 1 45 28 498.61
B022 2007 7 27 23 22 51 499.38
B024 2007 7 27 23 22 51 494.00
B026 2007 7 27 23 22 51 487.72
B019 2007 10 10 0 15 15 496.60
B020 2007 10 10 0 15 15 465.22
B022 2007 10 10 0 15 15 428.86
B023 2007 10 10 0 15 15 491.71
B024 2007 10 10 0 15 15 412.28
B026 2007 10 10 0 15 15 394.76
B027 2007 10 10 0 15 15 423.30
B028 2007 10 10 0 15 15 423.06
B030 2007 10 10 0 15 15 427.75
B031 2007 10 10 0 15 15 375.22
B032 2007 10 10 0 15 15 375.51
B033 2007 10 10 0 15 15 397.69
B035 2007 10 10 0 15 15 392.57
B036 2007 10 10 0 15 15 392.63
B040 2007 10 10 0 15 15 492.68
B045 2007 10 10 0 15 15 471.16
B935 2007 10 10 0 15 15 493.39
B039 2007 10 31 3 4 59 458.53
B040 2007 10 31 3 4 59 497.89
B045 2007 10 31 3 4 59 390.64
B054 2007 10 31 3 4 59 67.29
B057 2007 10 31 3 4 59 101.45
B058 2007 10 31 3 4 59 67.15
B065 2007 10 31 3 4 59 75.97
B066 2007 10 31 3 4 59 60.83
B067 2007 10 31 3 4 59 71.12
B072 2007 10 31 3 4 59 213.90
B073 2007 10 31 3 4 59 196.85
B075 2007 10 31 3 4 59 196.16
B076 2007 10 31 3 4 59 199.97
B078 2007 10 31 3 4 59 213.29
B079 2007 10 31 3 4 59 231.63
B900 2007 10 31 3 4 59 245.57
B901 2007 10 31 3 4 59 237.39
B916 2007 10 31 3 4 59 389.43
B917 2007 10 31 3 4 59 461.01
B918 2007 10 31 3 4 59 405.84
B921 2007 10 31 3 4 59 434.27
B933 2007 10 31 3 4 59 353.97
B934 2007 10 31 3 4 59 321.12
B935 2007 10 31 3 4 59 378.33
B019 2007 11 19 20 32 50 487.86
B020 2007 11 19 20 32 50 455.97
B022 2007 11 19 20 32 50 418.04
B023 2007 11 19 20 32 50 479.51
B024 2007 11 19 20 32 50 399.80
B026 2007 11 19 20 32 50 380.60
B027 2007 11 19 20 32 50 404.05
B028 2007 11 19 20 32 50 403.80
B030 2007 11 19 20 32 50 406.38
B031 2007 11 19 20 32 50 352.95
B032 2007 11 19 20 32 50 353.25
B033 2007 11 19 20 32 50 374.29
B035 2007 11 19 20 32 50 367.76
B036 2007 11 19 20 32 50 367.82
B039 2007 11 19 20 32 50 480.03
B040 2007 11 19 20 32 50 467.65
B045 2007 11 19 20 32 50 448.18
B933 2007 11 19 20 32 50 481.16
B935 2007 11 19 20 32 50 469.84
B019 2007 11 19 22 43 3 492.02
B020 2007 11 19 22 43 3 460.49
B022 2007 11 19 22 43 3 423.69
B023 2007 11 19 22 43 3 486.16
B024 2007 11 19 22 43 3 406.65
B026 2007 11 19 22 43 3 388.68
B027 2007 11 19 22 43 3 415.99
B028 2007 11 19 22 43 3 415.75
B030 2007 11 19 22 43 3 420.00
B031 2007 11 19 22 43 3 367.33
B032 2007 11 19 22 43 3 367.62
B033 2007 11 19 22 43 3 389.64
B035 2007 11 19 22 43 3 384.50
B036 2007 11 19 22 43 3 384.56
B039 2007 11 19 22 43 3 497.21
B040 2007 11 19 22 43 3 484.70
B045 2007 11 19 22 43 3 464.57
B933 2007 11 19 22 43 3 497.23
B935 2007 11 19 22 43 3 486.52
B030 2007 12 11 19 17 25 481.69
B031 2007 12 11 19 17 25 424.62
B032 2007 12 11 19 17 25 425.03
B033 2007 12 11 19 17 25 405.63
B035 2007 12 11 19 17 25 328.75
B036 2007 12 11 19 17 25 329.02
B039 2007 12 11 19 17 25 337.09
B040 2007 12 11 19 17 25 356.06
B045 2007 12 11 19 17 25 194.64
B054 2007 12 11 19 17 25 458.05
B057 2007 12 11 19 17 25 421.74
B933 2007 12 11 19 17 25 203.33
B934 2007 12 11 19 17 25 232.81
B935 2007 12 11 19 17 25 230.18
B020 2008 1 10 1 37 24 472.61
B022 2008 1 10 1 37 24 437.65
B024 2008 1 10 1 37 24 422.50
B026 2008 1 10 1 37 24 406.42
B027 2008 1 10 1 37 24 439.18
B028 2008 1 10 1 37 24 438.96
B030 2008 1 10 1 37 24 445.44
B031 2008 1 10 1 37 24 393.74
B032 2008 1 10 1 37 24 394.03
B033 2008 1 10 1 37 24 417.21
B035 2008 1 10 1 37 24 413.49
B036 2008 1 10 1 37 24 413.54
B045 2008 1 10 1 37 24 491.37
B027 2008 1 19 23 13 10 473.03
B028 2008 1 19 23 13 10 472.62
B030 2008 1 19 23 13 10 414.30
B031 2008 1 19 23 13 10 384.83
B032 2008 1 19 23 13 10 385.05
B033 2008 1 19 23 13 10 340.92
B035 2008 1 19 23 13 10 258.41
B036 2008 1 19 23 13 10 258.62
B039 2008 1 19 23 13 10 138.77
B040 2008 1 19 23 13 10 179.10
B045 2008 1 19 23 13 10 114.79
B054 2008 1 19 23 13 10 267.96
B057 2008 1 19 23 13 10 246.33
B058 2008 1 19 23 13 10 393.81
B065 2008 1 19 23 13 10 402.20
B066 2008 1 19 23 13 10 387.34
B067 2008 1 19 23 13 10 397.84
B933 2008 1 19 23 13 10 112.55
B934 2008 1 19 23 13 10 98.17
B935 2008 1 19 23 13 10 82.22
B081 2008 2 9 7 12 9 179.32
B082 2008 2 9 7 12 9 162.77
B084 2008 2 9 7 12 9 154.99
B086 2008 2 9 7 12 9 155.34
B087 2008 2 9 7 12 9 155.42
B088 2008 2 9 7 12 9 148.25
B089 2008 2 9 7 12 9 162.91
B093 2008 2 9 7 12 9 173.79
B916 2008 2 9 7 12 9 454.75
B917 2008 2 9 7 12 9 358.96
B918 2008 2 9 7 12 9 426.89
B921 2008 2 9 7 12 9 387.07
B081 2008 2 11 18 29 35 193.13
B082 2008 2 11 18 29 35 176.56
B084 2008 2 11 18 29 35 168.86
B086 2008 2 11 18 29 35 169.14
B087 2008 2 11 18 29 35 169.10
B088 2008 2 11 18 29 35 161.72
B089 2008 2 11 18 29 35 176.70
B093 2008 2 11 18 29 35 187.45
B916 2008 2 11 18 29 35 468.45
B917 2008 2 11 18 29 35 372.72
B918 2008 2 11 18 29 35 440.64
B921 2008 2 11 18 29 35 400.86
B081 2008 2 12 4 32 41 187.69
B082 2008 2 12 4 32 41 171.12
B084 2008 2 12 4 32 41 163.59
B086 2008 2 12 4 32 41 163.72
B087 2008 2 12 4 32 41 163.54
B088 2008 2 12 4 32 41 156.02
B089 2008 2 12 4 32 41 171.26
B093 2008 2 12 4 32 41 181.85
B916 2008 2 12 4 32 41 463.92
B917 2008 2 12 4 32 41 368.09
B918 2008 2 12 4 32 41 436.03
B921 2008 2 12 4 32 41 396.17
B081 2008 2 19 22 41 31 191.57
B082 2008 2 19 22 41 31 174.97
B084 2008 2 19 22 41 31 167.90
B086 2008 2 19 22 41 31 167.63
B087 2008 2 19 22 41 31 167.03
B088 2008 2 19 22 41 31 158.99
B089 2008 2 19 22 41 31 175.12
B093 2008 2 19 22 41 31 185.24
B916 2008 2 19 22 41 31 469.60
B917 2008 2 19 22 41 31 373.62
B918 2008 2 19 22 41 31 441.60
B921 2008 2 19 22 41 31 401.63
B081 2008 2 20 1 28 57 191.05
B082 2008 2 20 1 28 57 174.51
B084 2008 2 20 1 28 57 167.09
B086 2008 2 20 1 28 57 167.14
B087 2008 2 20 1 28 57 166.86
B088 2008 2 20 1 28 57 159.24
B089 2008 2 20 1 28 57 174.65
B093 2008 2 20 1 28 57 185.11
B916 2008 2 20 1 28 57 467.30
B917 2008 2 20 1 28 57 371.51
B918 2008 2 20 1 28 57 439.40
B921 2008 2 20 1 28 57 399.56
B081 2008 2 22 19 31 20 196.53
B082 2008 2 22 19 31 20 179.97
B084 2008 2 22 19 31 20 172.15
B086 2008 2 22 19 31 20 172.54
B087 2008 2 22 19 31 20 172.61
B088 2008 2 22 19 31 20 165.33
B089 2008 2 22 19 31 20 180.11
B093 2008 2 22 19 31 20 190.97
B916 2008 2 22 19 31 20 471.16
B917 2008 2 22 19 31 20 375.51
B918 2008 2 22 19 31 20 443.40
B921 2008 2 22 19 31 20 403.68
B022 2008 3 15 14 44 38 472.24
B024 2008 3 15 14 44 38 446.69
B026 2008 3 15 14 44 38 419.55
B027 2008 3 15 14 44 38 409.00
B028 2008 3 15 14 44 38 408.66
B030 2008 3 15 14 44 38 392.95
B031 2008 3 15 14 44 38 333.12
B032 2008 3 15 14 44 38 333.52
B033 2008 3 15 14 44 38 339.03
B035 2008 3 15 14 44 38 303.80
B036 2008 3 15 14 44 38 303.95
B039 2008 3 15 14 44 38 392.64
B040 2008 3 15 14 44 38 388.73
B045 2008 3 15 14 44 38 333.39
B933 2008 3 15 14 44 38 363.55
B934 2008 3 15 14 44 38 397.18
B935 2008 3 15 14 44 38 358.51
B022 2008 4 2 5 55 42 486.74
B024 2008 4 2 5 55 42 479.46
B026 2008 4 2 5 55 42 471.27
B031 2008 4 2 5 55 42 493.84
B032 2008 4 2 5 55 42 494.09
B020 2008 4 10 8 4 31 477.27
B022 2008 4 10 8 4 31 446.14
B024 2008 4 10 8 4 31 434.80
B026 2008 4 10 8 4 31 422.65
B027 2008 4 10 8 4 31 466.78
B028 2008 4 10 8 4 31 466.60
B030 2008 4 10 8 4 31 478.45
B031 2008 4 10 8 4 31 429.64
B032 2008 4 10 8 4 31 429.91
B033 2008 4 10 8 4 31 456.39
B035 2008 4 10 8 4 31 458.63
B036 2008 4 10 8 4 31 458.67
B019 2008 4 12 12 5 15 491.53
B020 2008 4 12 12 5 15 459.95
B022 2008 4 12 12 5 15 423.07
B023 2008 4 12 12 5 15 485.57
B024 2008 4 12 12 5 15 405.97
B026 2008 4 12 12 5 15 387.94
B027 2008 4 12 12 5 15 415.18
B028 2008 4 12 12 5 15 414.95
B030 2008 4 12 12 5 15 419.17
B031 2008 4 12 12 5 15 366.41
B032 2008 4 12 12 5 15 366.72
B033 2008 4 12 12 5 15 388.75
B035 2008 4 12 12 5 15 383.63
B036 2008 4 12 12 5 15 383.69
B039 2008 4 12 12 5 15 496.51
B040 2008 4 12 12 5 15 483.96
B045 2008 4 12 12 5 15 464.00
B933 2008 4 12 12 5 15 496.73
B935 2008 4 12 12 5 15 485.94
B022 2008 4 14 5 38 34 481.57
B024 2008 4 14 5 38 34 474.02
B026 2008 4 14 5 38 34 465.59
B031 2008 4 14 5 38 34 487.40
B032 2008 4 14 5 38 34 487.64
B033 2008 4 26 6 40 14 493.38
B035 2008 4 26 6 40 14 437.98
B036 2008 4 26 6 40 14 438.06
B039 2008 4 26 6 40 14 304.07
B040 2008 4 26 6 40 14 329.51
B045 2008 4 26 6 40 14 362.07
B054 2008 4 26 6 40 14 274.42
B057 2008 4 26 6 40 14 286.67
B058 2008 4 26 6 40 14 339.47
B065 2008 4 26 6 40 14 341.27
B066 2008 4 26 6 40 14 334.10
B067 2008 4 26 6 40 14 342.37
B072 2008 4 26 6 40 14 415.39
B073 2008 4 26 6 40 14 403.86
B075 2008 4 26 6 40 14 406.27
B076 2008 4 26 6 40 14 404.13
B078 2008 4 26 6 40 14 414.65
B079 2008 4 26 6 40 14 427.18
B900 2008 4 26 6 40 14 429.74
B901 2008 4 26 6 40 14 429.74
B916 2008 4 26 6 40 14 422.39
B918 2008 4 26 6 40 14 450.44
B921 2008 4 26 6 40 14 490.69
B933 2008 4 26 6 40 14 351.83
B934 2008 4 26 6 40 14 325.77
B935 2008 4 26 6 40 14 328.88
B001 2008 4 27 21 18 4 435.56
B003 2008 4 27 21 18 4 361.71
B004 2008 4 27 21 18 4 337.83
B005 2008 4 27 21 18 4 408.11
B006 2008 4 27 21 18 4 408.31
B007 2008 4 27 21 18 4 408.09
B009 2008 4 27 21 18 4 404.13
B010 2008 4 27 21 18 4 404.11
B011 2008 4 27 21 18 4 404.34
B012 2008 4 27 21 18 4 251.81
B013 2008 4 27 21 18 4 457.17
B014 2008 4 27 21 18 4 402.44
B017 2008 4 27 21 18 4 442.99
B018 2008 4 27 21 18 4 480.45
B019 2008 4 27 21 18 4 455.14
B020 2008 4 27 21 18 4 459.23
B022 2008 4 27 21 18 4 483.04
B926 2008 4 27 21 18 4 354.09
B927 2008 4 27 21 18 4 308.70
B928 2008 4 27 21 18 4 280.79
B943 2008 4 27 21 18 4 457.13
B026 2008 4 30 3 3 8 497.49
B027 2008 4 30 3 3 8 410.94
B028 2008 4 30 3 3 8 410.51
B030 2008 4 30 3 3 8 356.15
B031 2008 4 30 3 3 8 316.05
B032 2008 4 30 3 3 8 316.32
B033 2008 4 30 3 3 8 277.31
B035 2008 4 30 3 3 8 188.65
B036 2008 4 30 3 3 8 188.90
B039 2008 4 30 3 3 8 121.90
B040 2008 4 30 3 3 8 152.22
B045 2008 4 30 3 3 8 60.84
B054 2008 4 30 3 3 8 352.04
B057 2008 4 30 3 3 8 324.60
B058 2008 4 30 3 3 8 480.82
B065 2008 4 30 3 3 8 490.07
B066 2008 4 30 3 3 8 474.47
B067 2008 4 30 3 3 8 484.87
B933 2008 4 30 3 3 8 94.61
B934 2008 4 30 3 3 8 112.97
B935 2008 4 30 3 3 8 48.52
B019 2008 5 4 2 51 14 470.58
B020 2008 5 4 2 51 14 437.33
B022 2008 5 4 2 51 14 393.81
B023 2008 5 4 2 51 14 447.69
B024 2008 5 4 2 51 14 368.88
B026 2008 5 4 2 51 14 342.70
B027 2008 5 4 2 51 14 340.83
B028 2008 5 4 2 51 14 340.52
B030 2008 5 4 2 51 14 332.01
B031 2008 5 4 2 51 14 274.35
B032 2008 5 4 2 51 14 274.71
B033 2008 5 4 2 51 14 288.72
B035 2008 5 4 2 51 14 272.85
B036 2008 5 4 2 51 14 272.93
B039 2008 5 4 2 51 14 383.00
B040 2008 5 4 2 51 14 371.00
B045 2008 5 4 2 51 14 359.26
B203 2008 5 4 2 51 14 491.72
B204 2008 5 4 2 51 14 498.38
B933 2008 5 4 2 51 14 394.64
B934 2008 5 4 2 51 14 427.68
B935 2008 5 4 2 51 14 378.34
B022 2008 5 24 23 23 8 484.70
B024 2008 5 24 23 23 8 476.71
B026 2008 5 24 23 23 8 467.81
B031 2008 5 24 23 23 8 487.07
B032 2008 5 24 23 23 8 487.32
B022 2008 6 2 17 50 25 485.26
B024 2008 6 2 17 50 25 476.84
B026 2008 6 2 17 50 25 467.48
B031 2008 6 2 17 50 25 484.47
B032 2008 6 2 17 50 25 484.72
B022 2008 6 14 6 47 9 478.89
B024 2008 6 14 6 47 9 470.60
B026 2008 6 14 6 47 9 461.42
B031 2008 6 14 6 47 9 479.81
B032 2008 6 14 6 47 9 480.06
B022 2008 6 29 19 33 41 481.53
B024 2008 6 29 19 33 41 473.62
B026 2008 6 29 19 33 41 464.80
B031 2008 6 29 19 33 41 484.77
B032 2008 6 29 19 33 41 485.02
B019 2008 7 12 15 46 2 473.82
B020 2008 7 12 15 46 2 440.75
B022 2008 7 12 15 46 2 398.23
B023 2008 7 12 15 46 2 453.82
B024 2008 7 12 15 46 2 374.58
B026 2008 7 12 15 46 2 349.75
B027 2008 7 12 15 46 2 353.23
B028 2008 7 12 15 46 2 352.93
B030 2008 7 12 15 46 2 346.77
B031 2008 7 12 15 46 2 289.95
B032 2008 7 12 15 46 2 290.28
B033 2008 7 12 15 46 2 305.83
B035 2008 7 12 15 46 2 291.86
B036 2008 7 12 15 46 2 291.94
B039 2008 7 12 15 46 2 402.10
B040 2008 7 12 15 46 2 390.15
B045 2008 7 12 15 46 2 375.87
B203 2008 7 12 15 46 2 499.19
B933 2008 7 12 15 46 2 410.62
B934 2008 7 12 15 46 2 443.78
B935 2008 7 12 15 46 2 395.66
B022 2008 7 17 18 21 42 479.80
B024 2008 7 17 18 21 42 472.38
B026 2008 7 17 18 21 42 464.08
B031 2008 7 17 18 21 42 486.69
B032 2008 7 17 18 21 42 486.93
B022 2008 7 17 22 36 18 481.16
B024 2008 7 17 22 36 18 474.05
B026 2008 7 17 22 36 18 466.07
B031 2008 7 17 22 36 18 490.13
B032 2008 7 17 22 36 18 490.37
B022 2008 7 17 22 43 2 487.31
B024 2008 7 17 22 43 2 480.33
B026 2008 7 17 22 43 2 472.46
B031 2008 7 17 22 43 2 496.39
B032 2008 7 17 22 43 2 496.62
B022 2008 7 17 22 51 57 489.05
B024 2008 7 17 22 51 57 481.94
B026 2008 7 17 22 51 57 473.93
B031 2008 7 17 22 51 57 497.08
B032 2008 7 17 22 51 57 497.31
B020 2008 7 19 1 0 23 499.96
B022 2008 7 19 1 0 23 473.87
B024 2008 7 19 1 0 23 467.06
B026 2008 7 19 1 0 23 459.44
B031 2008 7 19 1 0 23 485.83
B032 2008 7 19 1 0 23 486.06
B058 2008 7 29 18 42 20 465.29
B065 2008 7 29 18 42 20 454.15
B066 2008 7 29 18 42 20 470.35
B067 2008 7 29 18 42 20 461.72
B072 2008 7 29 18 42 20 311.46
B073 2008 7 29 18 42 20 328.50
B075 2008 7 29 18 42 20 330.13
B076 2008 7 29 18 42 20 324.86
