sta4 year mo dy hr mi sec geodkm
B076 2004 9 18 23 2 21 277.75
B078 2004 9 18 23 2 21 283.52
B079 2004 9 18 23 2 21 289.20
B900 2004 9 18 23 2 21 284.22
B901 2004 9 18 23 2 21 289.17
B916 2004 9 18 23 2 21 222.45
B917 2004 9 18 23 2 21 318.68
B918 2004 9 18 23 2 21 250.89
B921 2004 9 18 23 2 21 291.42
B934 2004 9 18 23 2 21 478.15
B054 2004 9 18 23 43 44 308.05
B057 2004 9 18 23 43 44 339.24
B058 2004 9 18 23 43 44 288.72
B065 2004 9 18 23 43 44 283.59
B066 2004 9 18 23 43 44 286.57
B067 2004 9 18 23 43 44 289.40
B072 2004 9 18 23 43 44 283.69
B073 2004 9 18 23 43 44 278.96
B075 2004 9 18 23 43 44 282.77
B076 2004 9 18 23 43 44 277.26
B078 2004 9 18 23 43 44 283.06
B079 2004 9 18 23 43 44 288.79
B900 2004 9 18 23 43 44 283.86
B901 2004 9 18 23 43 44 288.77
B916 2004 9 18 23 43 44 222.82
B917 2004 9 18 23 43 44 319.04
B918 2004 9 18 23 43 44 251.23
B921 2004 9 18 23 43 44 291.76
B934 2004 9 18 23 43 44 477.36
B054 2004 9 28 17 15 31 261.26
B057 2004 9 28 17 15 31 295.25
B058 2004 9 28 17 15 31 135.51
B065 2004 9 28 17 15 31 124.58
B066 2004 9 28 17 15 31 140.86
B067 2004 9 28 17 15 31 131.84
B072 2004 9 28 17 15 31 23.68
B073 2004 9 28 17 15 31 14.28
B075 2004 9 28 17 15 31 12.82
B076 2004 9 28 17 15 31 16.36
B078 2004 9 28 17 15 31 23.36
B079 2004 9 28 17 15 31 39.73
B081 2004 9 28 17 15 31 427.00
B082 2004 9 28 17 15 31 443.22
B084 2004 9 28 17 15 31 452.79
B086 2004 9 28 17 15 31 450.74
B087 2004 9 28 17 15 31 449.59
B088 2004 9 28 17 15 31 456.62
B089 2004 9 28 17 15 31 443.10
B093 2004 9 28 17 15 31 431.13
B900 2004 9 28 17 15 31 56.34
B901 2004 9 28 17 15 31 45.76
B916 2004 9 28 17 15 31 260.62
B917 2004 9 28 17 15 31 302.90
B918 2004 9 28 17 15 31 265.24
B921 2004 9 28 17 15 31 280.82
B054 2004 9 29 17 10 8 253.97
B057 2004 9 29 17 10 8 288.23
B058 2004 9 29 17 10 8 129.24
B065 2004 9 29 17 10 8 118.20
B066 2004 9 29 17 10 8 134.42
B067 2004 9 29 17 10 8 125.66
B072 2004 9 29 17 10 8 28.53
B073 2004 9 29 17 10 8 15.16
B075 2004 9 29 17 10 8 15.00
B076 2004 9 29 17 10 8 17.53
B078 2004 9 29 17 10 8 28.03
B079 2004 9 29 17 10 8 45.37
B081 2004 9 29 17 10 8 432.00
B082 2004 9 29 17 10 8 448.28
B084 2004 9 29 17 10 8 457.71
B086 2004 9 29 17 10 8 455.80
B087 2004 9 29 17 10 8 454.80
B088 2004 9 29 17 10 8 462.01
B089 2004 9 29 17 10 8 448.16
B093 2004 9 29 17 10 8 436.35
B900 2004 9 29 17 10 8 60.91
B901 2004 9 29 17 10 8 51.23
B916 2004 9 29 17 10 8 259.61
B917 2004 9 29 17 10 8 304.60
B918 2004 9 29 17 10 8 265.20
B921 2004 9 29 17 10 8 281.99
B054 2004 9 29 22 54 57 412.25
B057 2004 9 29 22 54 57 448.76
B058 2004 9 29 22 54 57 299.36
B065 2004 9 29 22 54 57 288.07
