# 
# Barbour and Crowell (2016)
# Regression biases estimated by linear mixed-effects regression (lme)
# 
# 	'LME'		the lmer identifier
# 	'Effect'	the random effect identifier (group)
# 	'Term'		the identifier within the random effect group (e.g., station name or earthquake ID)
# 	'Bias'		fixed mean bias estimate
# 	'Std.error'	standard error associated with 'Bias' from the conditional covariance matrix
#  
 LME                    Effect     Term         Bias       Std.error
 Earthquake             Earthquake 2011.067_5.1 -0.15      0.0932   
 Earthquake             Earthquake 2009.241_5.1 -0.15      0.0621   
 Earthquake             Earthquake 2006.147_4.9 -0.142     0.137    
 Earthquake             Earthquake 2007.208_5.2 -0.128     0.175    
 Earthquake             Earthquake 2012.313_6.2 -0.12      0.0474   
 Earthquake             Earthquake 2007.283_5.0 -0.12      0.0932   
 Earthquake             Earthquake 2009.219_5.0 -0.107     0.0486   
 Earthquake             Earthquake 2008.319_5.3 -0.101     0.0577   
 Earthquake             Earthquake 2008.103_5.5 -0.0943    0.0598   
 Earthquake             Earthquake 2008.154_5.2 -0.0941    0.103    
 Earthquake             Earthquake 2012.232_5.6 -0.0905    0.0464   
 Earthquake             Earthquake 2007.208_5.3 -0.0867    0.175    
 Earthquake             Earthquake 2007.119_4.8 -0.082     0.0859   
 Earthquake             Earthquake 2010.133_5.3 -0.0817    0.0526   
 Earthquake             Earthquake 2008.333_5.9 -0.0767    0.0712   
 Earthquake             Earthquake 2013.058_5.2 -0.0732    0.0474   
 Earthquake             Earthquake 2006.084_5.1 -0.0701    0.175    
 Earthquake             Earthquake 2013.216_5.5 -0.0634    0.0464   
 Earthquake             Earthquake 2012.270_4.8 -0.0527    0.0464   
 Earthquake             Earthquake 2008.166_5.2 -0.0524    0.116    
 Earthquake             Earthquake 2012.221_5.3 -0.0509    0.137    
 Earthquake             Earthquake 2008.255_5.2 -0.0435    0.0486   
 Earthquake             Earthquake 2012.047_4.9 -0.036     0.0445   
 Earthquake             Earthquake 2010.127_5.0 -0.0354    0.116    
 Earthquake             Earthquake 2008.360_5.8 -0.0328    0.0486   
 Earthquake             Earthquake 2008.199_5.7 -0.0258    0.103    
 Earthquake             Earthquake 2009.349_4.7 -0.0248    0.0647   
 Earthquake             Earthquake 2012.203_5.2 -0.0208    0.0541   
 Earthquake             Earthquake 2012.277_4.9 -0.0199    0.103    
 Earthquake             Earthquake 2008.199_5.4 -0.0178    0.103    
 Earthquake             Earthquake 2010.127_5.5 -0.00892   0.116    
 Earthquake             Earthquake 2011.217_4.8 -0.00639   0.0647   
 Earthquake             Earthquake 2012.277_5.0 -0.00505   0.0932   
 Earthquake             Earthquake 2013.030_5.4 -0.00453   0.0498   
 Earthquake             Earthquake 2011.252_6.5  0.0109    0.0436   
 Earthquake             Earthquake 2010.072_5.0  0.0144    0.0932   
 Earthquake             Earthquake 2012.035_5.6  0.0146    0.0436   
 Earthquake             Earthquake 2011.039_4.8  0.0146    0.0526   
 Earthquake             Earthquake 2007.045_5.2  0.0183    0.116    
 Earthquake             Earthquake 2010.263_4.9  0.0193    0.0752   
 Earthquake             Earthquake 2010.127_5.1  0.0236    0.137    
 Earthquake             Earthquake 2010.209_5.2  0.0236    0.0412   
 Earthquake             Earthquake 2010.010_6.5  0.0299    0.0577   
 Earthquake             Earthquake 2006.132_4.8  0.0305    0.175    
 Earthquake             Earthquake 2008.093_5.2  0.0446    0.103    
 Earthquake             Earthquake 2008.300_5.0  0.069     0.0577   
 Earthquake             Earthquake 2010.035_5.9  0.0845    0.0541   
 Earthquake             Earthquake 2007.129_5.4  0.0854    0.103    
 Earthquake             Earthquake 2012.258_4.9  0.131     0.0932   
 Earthquake             Earthquake 2010.094_7.2  0.146     0.0647   
 Earthquake             Earthquake 2013.044_5.3  0.149     0.0511   
 Earthquake             Earthquake 2009.262_5.2  0.15      0.0647   
 Earthquake             Earthquake 2010.105_4.9  0.153     0.0677   
 Earthquake             Earthquake 2011.239_4.8  0.154     0.0486   
 Earthquake             Earthquake 2006.290_4.9  0.16      0.175    
 Earthquake             Earthquake 2011.049_5.2  0.166     0.0712   
 Earthquake             Earthquake 2009.083_5.0  0.184     0.0577   
 Earthquake             Earthquake 2008.199_5.2  0.186     0.103    
 Earthquake             Earthquake 2013.284_5.2  0.194     0.0541   
 Earthquake             Earthquake 2007.176_5.0  0.21      0.0932   
 Earthquake             Earthquake 2012.222_4.8  0.219     0.137    
 Earthquake             Earthquake 2010.345_4.8  0.22      0.0677   
 Earthquake             Earthquake 2008.050_5.1  0.221     0.0752   
 Earthquake             Earthquake 2012.044_5.6  0.237     0.0526   
 Earthquake             Earthquake 2008.053_4.9  0.244     0.0859   
 Earthquake             Earthquake 2008.051_4.8  0.256     0.0752   
 Earthquake             Earthquake 2008.043_5.0  0.264     0.0752   
 Earthquake             Earthquake 2010.128_4.9  0.292     0.0647   
 Earthquake             Earthquake 2009.276_5.2  0.308     0.0436   
 Earthquake             Earthquake 2008.121_5.4  0.311     0.0558   
 Earthquake             Earthquake 2011.107_4.8  0.313     0.0464   
