eqnum	year	mo	dy	hr	mi	sec	nlat	elon	depkm	Mw
94	2008	12	6	4	18	45.5	34.83	-116.39	12.0	5.1
95	2008	12	25	8	11	59.8	48.78	-129.06	12.0	5.8
96	2009	3	24	11	55	46.2	33.31	-115.66	12.0	5.0
97	2009	4	16	4	18	32.0	43.94	-129.42	20.2	5.0
98	2009	8	7	10	49	39.2	40.34	-124.57	18.5	5.0
99	2009	8	29	10	11	15.5	43.90	-128.74	12.0	5.1
100	2009	8	29	10	24	11.7	43.88	-128.68	18.9	5.0
101	2009	8	29	13	5	54.1	43.95	-128.76	17.0	4.8
102	2009	9	19	22	55	21.6	32.37	-115.31	12.0	5.2
103	2009	10	1	10	1	28.2	36.37	-117.83	14.8	5.1
104	2009	10	3	1	9	23.9	36.41	-117.82	20.7	4.9
105	2009	10	3	1	16	6.3	36.39	-117.78	17.9	5.2
106	2009	11	4	12	38	29.1	43.24	-127.07	12.9	5.3
107	2009	12	15	3	34	5.0	43.81	-128.76	12.0	4.7
108	2009	12	30	18	49	1.0	32.46	-115.17	14.7	5.9
109	2010	1	10	0	27	46.8	40.53	-124.81	19.0	6.5
110	2010	2	4	20	20	24.1	40.37	-125.08	18.5	5.9
111	2010	3	13	4	53	40.9	44.08	-129.45	12.0	5.0
112	2010	4	4	22	41	9.2	32.31	-115.39	12.8	7.2
113	2010	4	5	11	14	18.2	32.76	-115.79	20.9	5.1
114	2010	4	5	13	33	11.4	32.81	-115.68	20.3	5.0
115	2010	4	8	16	44	29.7	32.25	-115.26	12.0	5.4
116	2010	4	15	10	20	48.9	32.04	-115.08	12.0	4.9
117	2010	5	7	17	46	13.8	44.11	-129.69	14.9	5.5
118	2010	5	7	18	41	57.3	44.13	-129.77	12.6	5.1
119	2010	5	7	20	2	18.9	44.12	-129.70	12.6	5.0
120	2010	5	8	18	33	11.9	32.60	-115.76	19.0	5.0
121	2010	5	8	18	46	28.3	32.59	-115.81	15.0	4.9
122	2010	5	13	5	35	13.7	42.20	-126.77	14.7	5.3
123	2010	5	22	17	31	0.2	32.58	-115.83	19.0	5.1
124	2010	6	15	4	27	1.4	32.66	-115.98	13.4	5.8
125	2010	7	7	23	53	37.5	33.41	-116.51	24.1	5.5
126	2010	7	28	16	12	7.3	43.72	-126.03	12.0	5.2
127	2010	9	14	10	52	21.6	32.14	-115.20	14.7	5.0
128	2010	9	20	0	30	6.3	32.11	-115.11	14.9	4.9
129	2010	10	4	14	51	59.8	49.08	-129.48	16.1	5.3
130	2010	10	13	10	50	25.5	41.81	-127.04	20.9	4.8
131	2010	11	21	23	46	36.2	43.40	-127.69	21.0	5.0
132	2010	12	11	12	52	30.9	32.31	-115.22	15.3	4.8
133	2011	2	8	7	44	35.3	43.46	-128.05	15.6	4.8
134	2011	2	8	22	2	1.9	43.31	-127.48	18.3	5.4
135	2011	2	18	17	47	38.1	32.08	-115.06	12.0	5.2
136	2011	3	6	21	35	47.7	44.15	-129.54	12.0	5.0
137	2011	3	6	22	23	17.2	44.23	-129.56	12.9	5.0
138	2011	3	8	1	26	59.4	44.18	-129.40	12.0	5.1
139	2011	4	17	0	45	40.8	38.47	-118.71	12.9	4.8
140	2011	5	22	7	21	36.0	43.30	-127.45	19.9	4.9
141	2011	6	18	10	49	12.2	41.93	-127.14	12.0	5.2
142	2011	8	5	15	10	2.2	43.89	-129.09	17.4	4.8
143	2011	8	27	7	18	24.1	36.51	-121.21	19.0	4.8
